index,precursor_mz,adduct,MS2,2h_N1,2h_N2,4h_N3,4h_N4,8h_N5,0h_N5,2h_N1.1,2h_N2.1,4h_N3.1,4h_N4.1,8h_N5.1,0h_N5.1,0h_N6,0h_N6.1
ft-00039,806.72546,[M+NH4]+,"[[533.45947, 70], [535.47406, 100], [549.48877, 88]]",132561.2433,121119.14,198115.3351,142580.0988,128172.3779,194963.1654,44451.6683,52392.84792,70107.60315,42891.21821,32658.92002,71299.85765,,
ft-00040,808.73724,[M+NH4]+,"[[521.45587, 42], [535.47412, 150], [537.49072, 264], [549.48706, 154], [552.51123, 42]]",229561.4184,212521.8431,337414.1869,252539.3783,219340.2733,326303.4734,74719.79494,89119.90871,114440.5069,66974.33725,57422.90872,110173.0353,,
ft-00041,810.75342,[M+NH4]+,"[[537.49036, 102], [551.50574, 54]]",202349.3279,186943.4729,253595.429,193403.495,192666.8394,232781.8005,50568.18581,60719.08983,73737.75883,41942.3326,46829.79469,76064.77073,,
ft-00042,820.7381,[M+NH4]+,"[[547.47272, 188], [549.48816, 448], [550.49042, 72], [565.19958, 74], [575.50354, 62], [820.73669, 72]]",304948.4328,279430.3823,457428.6715,330295.5193,291275.1972,451660.1553,101819.6655,123538.2993,170921.4437,91802.87773,76105.43933,155551.7983,,
ft-00043,822.75317,[M+NH4]+,"[[282.28, 44], [523.47009, 88], [549.48859, 644], [551.50464, 522], [552.50433, 52], [564.50647, 56], [577.52173, 132], [822.75909, 98]]",404685.0684,365673.4211,573563.2075,418629.1004,376095.2277,569396.3112,137739.4122,156962.8451,204954.2281,132155.9038,107680.4945,191968.9913,,
ft-00044,824.77051,[M+NH4]+,"[[537.49237, 110], [551.50256, 162], [565.52246, 130]]",243284.1898,219136.0398,296418.2406,224563.5105,351619.1065,296087.8552,57004.90096,56034.15042,81142.45872,54106.98786,164713.4879,71908.00824,,
ft-00045,832.7403,[M+NH4]+,"[[221.086, 80], [533.45679, 64], [535.47089, 54], [561.48969, 136], [575.50592, 110]]",64259.70185,60828.84203,93352.0897,73481.61221,68874.52091,99026.65674,21215.91459,24843.17208,29522.36999,20142.00567,17177.83872,35367.23606,,
ft-00046,834.75409,[M+NH4]+,"[[237.22296, 46], [547.46997, 44], [563.50568, 48]]",999204.5722,840805.063,1105180.931,948466.3605,952651.5573,1095302.61,464198.3702,524280.1974,276577.2193,295100.8424,332030.9595,412414.5476,,
ft-00047,836.76898,[M+NH4]+,"[[221.08197, 50], [537.48724, 48], [549.48779, 148], [563.50085, 210], [565.52075, 162], [650.86475, 50]]",225363.8598,204333.8214,315944.9375,229382.1535,218436.1084,310054.6651,77709.06857,85477.24131,114281.0626,71537.27252,64981.46783,111184.3123,,
ft-00048,838.7854,[M+NH4]+,"[[551.50372, 48], [565.51996, 144], [838.78589, 44]]",121741.0711,111532.6747,146666.3124,118845.6011,114688.8094,144859.7528,28002.23879,32738.52652,39450.98286,24906.25169,21825.74422,34894.27804,,
ft-00049,846.7536,[M+NH4]+,"[[547.4693, 60], [575.50665, 48]]",140742.7667,133977.6773,212526.9285,157280.9912,158159.1408,218112.7085,44968.3484,58061.67784,77137.04961,49137.92456,42090.00493,74767.58682,,
ft-00050,848.7691,[M+NH4]+,"[[549.48224, 46], [575.50067, 70], [577.5257, 54]]",325211.6228,319436.395,459249.5389,342244.734,371946.7632,492804.5096,105312.7981,147002.0603,164513.4796,111666.9591,112415.3048,164728.3899,,
ft-00051,850.78625,[M+NH4]+,"[[551.50317, 110], [577.51678, 56]]",394195.8377,447187.9996,528345.3308,378244.2423,477635.8698,658566.0818,141797.9637,250532.6881,218344.3417,151601.8217,171879.9739,256073.0393,,
ft-00052,852.80017,[M+NH4]+,"[[551.5025, 78], [552.50909, 64], [579.53558, 88]]",116295.1461,108450.8606,129423.7711,109222.9328,122850.6765,129489.1648,19891.46575,21182.18437,27580.34379,18294.20341,19923.65609,23894.9035,,
ft-00053,854.58331,[M+Na]+,"[[175.09669, 72], [289.21619, 58], [837.55774, 82], [854.58478, 316], [855.5918, 44]]",167628.2089,143141.9932,300929.0549,78427.46644,72553.71589,198593.239,150874.5665,95157.46343,189022.5693,79907.12067,21996.23762,81648.88696,,
ft-00054,862.78455,[M+NH4]+,"[[563.50531, 212], [575.50513, 104], [589.51764, 48], [591.53949, 84], [605.5509, 52]]",118917.9115,112258.2384,164892.6905,134807.8078,158153.7984,171764.521,36543.46989,49798.16802,55553.3454,48307.89098,49864.23477,61528.27067,,
ft-00055,864.80127,[M+NH4]+,"[[565.52142, 114], [577.51733, 74], [591.53717, 100], [864.79584, 56]]",93676.01538,93418.71056,126889.8519,102944.8959,110749.7938,132507.2814,29811.07607,38823.88046,41631.96272,32926.00454,34139.35359,45521.842,,
ft-00056,872.77197,[M+NH4]+,"[[575.50177, 188], [599.50439, 100]]",41336.65517,48397.47412,53439.70525,57375.85158,136763.7413,60920.09945,10837.30109,23649.42424,15569.9023,19986.16187,50357.79071,19835.72888,,
ft-00057,874.78613,[M+NH4]+,"[[185.13145, 52], [339.28714, 46], [575.50195, 644], [577.51855, 626], [578.52148, 44], [599.49896, 52], [601.51788, 464], [602.52411, 66], [602.56183, 44], [874.78058, 126]]",244830.935,298332.9216,333583.4013,278889.4838,407614.4007,454280.8363,90650.26058,179848.2117,145364.1561,114086.4616,144816.9626,181001.5453,,
ft-00058,876.80176,[M+NH4]+,"[[577.52045, 3550], [578.52386, 486], [590.52698, 58], [603.53522, 2608], [603.60046, 66], [604.53619, 308], [859.77509, 86], [876.80389, 422], [877.80676, 74]]",899565.1643,1279026.051,1189596.195,864381.8318,990516.8694,1989089.29,422422.4061,911004.6951,683460.2634,452712.0268,403060.0641,1050039.149,,
ft-00059,878.8175,[M+NH4]+,"[[577.52081, 362], [579.53235, 302], [605.54999, 286], [878.81818, 82]]",231044.7013,298490.54,293296.8073,224716.9907,268402.6635,413618.6363,94001.02883,191915.7213,137327.6588,102233.9272,103562.0742,183292.9876,,
ft-00060,880.8335,[M+NH4]+,"[[579.53912, 142], [607.56458, 150], [880.8371, 42]]",97498.01605,93639.71172,101296.2441,99895.68448,98846.75655,103529.1498,9892.956712,7974.459895,7701.966821,2574.984077,12441.55633,7389.656253,,
ft-00061,896.77191,[M+NH4]+,"[[597.48297, 62], [599.50128, 114]]",18887.98336,25150.0302,24497.86887,26548.60142,53861.29249,24609.93069,4687.819024,13448.52266,6573.551806,4471.470725,16750.04391,6241.617162,,
ft-00062,898.78784,[M+NH4]+,"[[599.50513, 152], [601.52295, 106]]",56093.43042,81129.04203,78199.06979,80596.70885,167664.5836,99163.54166,16514.38912,49625.26016,31652.18229,32735.00005,59264.94351,40660.71659,,
